facility_id,ghgrp_id,facility_name,npri_id,province,naics_code,naics_description
1,G10001,Division Alma,983,Quebec,322111,Mechanical Pulp Mills
2,G10003,"Foothills Pipeline, Alberta",,Alberta,486210,Pipeline Transportation of Natural Gas
3,G10004,Kingston CoGen,5765,Ontario,221112,Fossil-Fuel Electric Power Generation
4,G10006,Redwater Fertilizer Operations,2134,Alberta,325313,Chemical Fertilizer (except Potash) Manufacturing
5,G10007,Alberta Envirofuels,3974,Alberta,325110,Petrochemical Manufacturing
6,G10008,Alliance Pipeline Ltd. - AB Pipeline System,,Alberta,486210,Pipeline Transportation of Natural Gas
7,G10009,Alberta-Pacific Forest Industries Inc.,1,Alberta,322112,Chemical Pulp Mills
8,G10010,Rio Tinto Alcan Inc.,2788,British Columbia,331313,Primary Production of Alumina and Aluminum
9,G10011,Algoma Steel Inc,1070,Ontario,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
10,G10012,Aluminerie Alouette inc.,4778,Quebec,331313,Primary Production of Alumina and Aluminum
11,G10013,Aluminerie de Baie-Comeau,2038,Quebec,331313,Primary Production of Alumina and Aluminum
12,G10014,Aluminerie de Bécancour inc.,1071,Quebec,331313,Primary Production of Alumina and Aluminum
13,G10015,ATCO Pipelines - Transmission System,,Alberta,486210,Pipeline Transportation of Natural Gas
14,G10016,Atikokan Generating Station,3238,Ontario,221119,Other Electric Power Generation
15,G10018,Battle River Generating Station,1033,Alberta,221112,Fossil-Fuel Electric Power Generation
16,G10020,Bayside Power,5084,New Brunswick,221112,Fossil-Fuel Electric Power Generation
17,G10021,Usine de Bedford,5591,Quebec,327410,Lime Manufacturing
18,G10022,Belledune Generating Station,1698,New Brunswick,221112,Fossil-Fuel Electric Power Generation
19,G10024,Boundary Dam Power Station,2081,Saskatchewan,221112,Fossil-Fuel Electric Power Generation
20,G10025,Thunder Bay Operations,930,Ontario,322112,Chemical Pulp Mills
21,G10026,Brady Road Resource Management Facility,6896,Manitoba,562210,Waste Treatment and Disposal
22,G10027,Brampton Assembly Plant,4173,Ontario,336110,Automobile and Light-Duty Motor Vehicle Manufacturing
23,G10028,Brandon Generating Station,821,Manitoba,221112,Fossil-Fuel Electric Power Generation
24,G10029,Brazeau Gas Plant,3749,Alberta,211110,Oil and gas extraction (except oil sands)
25,G10030,Brazeau River Gas Plant,1362,Alberta,211110,Oil and gas extraction (except oil sands)
26,G10031,Brighton Beach Power,11009,Ontario,221112,Fossil-Fuel Electric Power Generation
27,G10032,Brock West Landfill,,Ontario,562210,Waste Treatment and Disposal
28,G10033,Brookfield Cement Plant,4317,Nova Scotia,327310,Cement Manufacturing
29,G10036,Burnaby Refinery,2776,British Columbia,324110,Petroleum Refineries
30,G10038,"TransCanada Pipeline, Saskatchewan",,Saskatchewan,486210,Pipeline Transportation of Natural Gas
31,G10039,Cabot Canada Limited,5808,Ontario,325189,All Other Basic Inorganic Chemical Manufacturing
32,G10040,Calgary Energy Centre,15740,Alberta,221112,Fossil-Fuel Electric Power Generation
33,G10041,Island Generation,6549,British Columbia,221112,Fossil-Fuel Electric Power Generation
34,G10042,Calstock Power Plant,10403,Ontario,221119,Other Electric Power Generation
35,G10043,Northern Lime Limited,10138,Ontario,327410,Lime Manufacturing
36,G10044,Canadian Fertilizers Limited,3821,Alberta,325313,Chemical Fertilizer (except Potash) Manufacturing
37,G10045,Cancarb Ltd.,5357,Alberta,325189,All Other Basic Inorganic Chemical Manufacturing
38,G10046,"TransCanada Pipeline, Alberta System",,Alberta,486210,Pipeline Transportation of Natural Gas
39,G10047,Cardinal Power,4480,Ontario,221112,Fossil-Fuel Electric Power Generation
40,G10048,West Fraser Mills Ltd d/b/a Cariboo Pulp & Paper Company,479,British Columbia,322112,Chemical Pulp Mills
41,G10049,Caribou North Comp Stn 11-08,16687,Alberta,211110,Oil and gas extraction (except oil sands)
42,G10050,Dundas Operations,10139,Ontario,327410,Lime Manufacturing
43,G10051,Beachville Operation,10140,Ontario,327410,Lime Manufacturing
44,G10052,Carol Project,5013,Newfoundland and Labrador,212210,Iron Ore Mining
45,G10053,Carseland Nitrogen Operations,3269,Alberta,325313,Chemical Fertilizer (except Potash) Manufacturing
46,G10054,Carseland Power Plant,6700,Alberta,221112,Fossil-Fuel Electric Power Generation
47,G10055,Orica Carseland,2857,Alberta,325313,Chemical Fertilizer (except Potash) Manufacturing
48,G10057,Ingredion Canada Incorporated - London Plant,485,Ontario,311221,Wet Corn Milling
49,G10058,Cavalier Energy Centre,6633,Alberta,221112,Fossil-Fuel Electric Power Generation
50,G10059,Cavendish Farms,4875,Prince Edward Island,311410,Frozen Food Manufacturing
51,G10060,Co-op Refinery Complex,4048,Saskatchewan,324110,Petroleum Refineries
52,G10061,Centrale de Cap-aux-Meules,6130,Quebec,221112,Fossil-Fuel Electric Power Generation
53,G10064,Chimie Parachem s.e.c,4569,Quebec,325110,Petrochemical Manufacturing
54,G10065,Christina Lake SAGD Bitumen Battery,6625,Alberta,211141,In-situ oil sands extraction
55,G10066,Cimenterie de Saint-Basile,5548,Quebec,327310,Cement Manufacturing
56,G10067,Cimenterie de Saint-Constant,5474,Quebec,327310,Cement Manufacturing
57,G10068,Electric Utility - Generation,6576,Alberta,221112,Fossil-Fuel Electric Power Generation
58,G10069,Clover Bar Energy Centre,23368,Alberta,221112,Fossil-Fuel Electric Power Generation
59,G10071,Cochrane Extraction Plant,5248,Alberta,211110,Oil and gas extraction (except oil sands)
60,G10072,Cochrane Generating Station,1773,Ontario,221112,Fossil-Fuel Electric Power Generation
61,G10073,Cold Lake,442,Alberta,211141,In-situ oil sands extraction
62,G10074,Coleson Cove Generating Station,1696,New Brunswick,221112,Fossil-Fuel Electric Power Generation
63,G10075,Chatham,5739,Ontario,325190,Other Basic Organic Chemical Manufacturing
64,G10076,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,4806,Quebec,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
65,G10079,Corner Brook Pulp and Paper,4929,Newfoundland and Labrador,322122,Newsprint Mills
66,G10080,Cory Cogeneration Station,16289,Saskatchewan,221112,Fossil-Fuel Electric Power Generation
67,G10082,Crofton Division,1266,British Columbia,322112,Chemical Pulp Mills
68,G10085,Delta Plant,5190,British Columbia,327310,Cement Manufacturing
69,G10086,ATCO Gas - Distribution System,,Alberta,221210,Natural Gas Distribution
70,G10088,Kruger Trois-Rivières S.E.C.,5515,Quebec,322130,Paperboard Mills
71,G10089,Usine Kénogami,979,Quebec,322122,Newsprint Mills
72,G10091,ArcelorMittal Dofasco,3713,Ontario,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
73,G10093,Espanola Mill,3185,Ontario,322121,Paper (except Newsprint) Mills
74,G10095,East Calgary Landfill,24315,Alberta,562210,Waste Treatment and Disposal
75,G10096,East Crossfield Gas Plant 9-14-28-1W5,4140,Alberta,211110,Oil and gas extraction (except oil sands)
76,G10097,Edmonton Site,126,Alberta,325210,Resin and Synthetic Rubber Manufacturing
77,G10098,Edmonton Refinery,3903,Alberta,324110,Petroleum Refineries
78,G10099,Twin Rivers Pulp Ltd.,1221,New Brunswick,322112,Chemical Pulp Mills
79,G10100,Edson Gas Plant,5284,Alberta,211110,Oil and gas extraction (except oil sands)
80,G10101,Ekati Diamond Mine,5236,Northwest Territories,212392,Diamond Mining
81,G10103,Elkem Métal Chicoutimi,6344,Quebec,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
82,G10104,"Foothills Pipeline, British Columbia System",,British Columbia,486210,Pipeline Transportation of Natural Gas
83,G10105,Elkview Operations,7838,British Columbia,212114,Bituminous Coal Mining
84,G10106,Elmworth Gas Plant,23956,Alberta,211110,Oil and gas extraction (except oil sands)
85,G10107,Empress Gas Plant,1091,Alberta,211110,Oil and gas extraction (except oil sands)
86,G10108,Empress 6,3752,Alberta,211110,Oil and gas extraction (except oil sands)
87,G10111,Exshaw Plant,6826,Alberta,327410,Lime Manufacturing
88,G10112,Exshaw Cement Plant,5291,Alberta,327310,Cement Manufacturing
89,G10113,Faulkner Plant,6825,Manitoba,327410,Lime Manufacturing
90,G10114,Woodstock Plant,5946,Ontario,327310,Cement Manufacturing
91,G10115,Fording River Operations,6669,British Columbia,212114,Bituminous Coal Mining
92,G10117,Fort Nelson Gas Plant,4304,British Columbia,211110,Oil and gas extraction (except oil sands)
93,G10118,Fort Nelson Generating Station,7866,British Columbia,221112,Fossil-Fuel Electric Power Generation
94,G10119,Fort Saskatchewan,2132,Alberta,331410,Non-Ferrous Metal (except Aluminum) Smelting and Refining
95,G10120,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,5352,Alberta,221112,Fossil-Fuel Electric Power Generation
96,G10121,Fort Saskatchewan Nitrogen Operations,4874,Alberta,325313,Chemical Fertilizer (except Potash) Manufacturing
97,G10122,Fort Saskatchewan Storage and Fractionation,4142,Alberta,211110,Oil and gas extraction (except oil sands)
98,G10125,Fort Saskatchewan EOEG,18996,Alberta,325190,Other Basic Organic Chemical Manufacturing
99,G10126,Gathering,,British Columbia,211110,Oil and gas extraction (except oil sands)
100,G10127,Genesee Thermal Generating Station,267,Alberta,221112,Fossil-Fuel Electric Power Generation
101,G10128,"Gerdau Ameristeel Corporation, Whitby Mill",3824,Ontario,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
102,G10130,International Paper Canadian Pulp Holdings ULC,2875,Alberta,322112,Chemical Pulp Mills
103,G10131,Greenhills Operations,6671,British Columbia,212114,Bituminous Coal Mining
104,G10133,Birla Carbon Canada Ltd.,2660,Ontario,325189,All Other Basic Inorganic Chemical Manufacturing
105,G10134,Hangingstone SAGD Demonstration Facility,17122,Alberta,211141,In-situ oil sands extraction
106,G10135,Hanlan Robb Gas Plant,3758,Alberta,211110,Oil and gas extraction (except oil sands)
107,G10136,Harmac Pacific Operations,1383,British Columbia,322112,Chemical Pulp Mills
108,G10137,Harmattan Gas Processing Plant,3941,Alberta,211110,Oil and gas extraction (except oil sands)
109,G10138,Havelock Plant,6188,New Brunswick,327410,Lime Manufacturing
110,G10139,Hays Gas Plant 11-31-013-14 W4M,15241,Alberta,211110,Oil and gas extraction (except oil sands)
111,G10141,Hendrickson Springs,3778,Ontario,332611,Spring (Heavy Gauge) Manufacturing
112,G10142,Hibernia Platform,6096,Newfoundland and Labrador,211110,Oil and gas extraction (except oil sands)
113,G10144,Mondi Hinton Inc.,2991,Alberta,322112,Chemical Pulp Mills
114,G10145,Holyrood Thermal Generating Station,4882,Newfoundland and Labrador,221112,Fossil-Fuel Electric Power Generation
115,G10146,Howe Sound Pulp and Paper Mill,1419,British Columbia,322112,Chemical Pulp Mills
116,G10147,Lloydminster Upgrader,409,Saskatchewan,211110,Oil and gas extraction (except oil sands)
117,G10148,Entreprise Indorama PTA Montréal s.e.c.,6427,Quebec,325190,Other Basic Organic Chemical Manufacturing
118,G10149,INVISTA (Canada) Company-Maitland Site,1207,Ontario,325190,Other Basic Organic Chemical Manufacturing
119,G10150,EVRAZ Inc NA Canada - Regina Facilities,2740,Saskatchewan,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
120,G10151,Iroquois Falls Generating Station,4904,Ontario,221112,Fossil-Fuel Electric Power Generation
121,G10152,Joffre LAO Plant,6556,Alberta,325110,Petrochemical Manufacturing
122,G10154,Usine de Joliette,5544,Quebec,327310,Cement Manufacturing
123,G10155,Judy Creek Gas Conservation Plant,440,Alberta,211110,Oil and gas extraction (except oil sands)
124,G10157,Kamloops Mill (SFO),2924,British Columbia,322112,Chemical Pulp Mills
125,G10158,Karr 10-10-065-02 W6M,,Alberta,211110,Oil and gas extraction (except oil sands)
126,G10159,Kaybob Amalgamated Sour Gas Plant,4150,Alberta,211110,Oil and gas extraction (except oil sands)
127,G10160,Kaybob South #3 Gas Plant,683,Alberta,211110,Oil and gas extraction (except oil sands)
128,G10161,Keele Valley Landfill,7371,Ontario,562210,Waste Treatment and Disposal
129,G10162,Keephills Thermal Electric Power Generating Plant,2286,Alberta,221112,Fossil-Fuel Electric Power Generation
130,G10163,"TransCanada Pipeline, Ontario",,Ontario,486210,Pipeline Transportation of Natural Gas
131,G10164,Kidd Metallurgical Site,2815,Ontario,212233,Copper-Zinc Ore Mining
132,G10165,Kirkland Lake Generating Station,1770,Ontario,221112,Fossil-Fuel Electric Power Generation
133,G10168,"KRONOS Canada, Inc.",1561,Quebec,325189,All Other Basic Inorganic Chemical Manufacturing
134,G10169,Kruger Wayagamack,2502,Quebec,322121,Paper (except Newsprint) Mills
135,G10170,Richmond Cement Plant,702,British Columbia,327310,Cement Manufacturing
136,G10171,Bath Cement Plant,5850,Ontario,327310,Cement Manufacturing
137,G10176,Edmonton Plant,5243,Alberta,327310,Cement Manufacturing
138,G10177,Lennox Generating Station,1812,Ontario,221112,Fossil-Fuel Electric Power Generation
139,G10178,Lingan Generating Station,3992,Nova Scotia,221112,Fossil-Fuel Electric Power Generation
140,G10179,MacKay River Power Plant,19219,Alberta,221112,Fossil-Fuel Electric Power Generation
141,G10180,"MacKay River, In-Situ Oil Sands Plant",17630,Alberta,211141,In-situ oil sands extraction
142,G10182,Canadian Kraft Paper Industries Ltd.,2051,Manitoba,322121,Paper (except Newsprint) Mills
143,G10183,Usine de Marbleton,6187,Quebec,327410,Lime Manufacturing
144,G10184,McMahon Cogen Plant,7959,British Columbia,221112,Fossil-Fuel Electric Power Generation
145,G10185,McMahon Gas Plant,4305,British Columbia,211110,Oil and gas extraction (except oil sands)
146,G10186,Meridian Cogeneration Plant,6595,Saskatchewan,221112,Fossil-Fuel Electric Power Generation
147,G10187,Mildred Lake and Aurora Plant Sites,,Alberta,211142,Mined oil sands extraction
148,G10188,Mine de Mont-Wright,6217,Quebec,212210,Iron Ore Mining
149,G10191,Mississauga Lubricants Centre,3899,Ontario,324190,Other Petroleum and Coal Products Manufacturing
150,G10192,Mississauga Cement Plant,2182,Ontario,327310,Cement Manufacturing
151,G10193,Mohawk Street Landfill,10433,Ontario,562210,Waste Treatment and Disposal
152,G10195,Mosaic Potash Belle Plaine,4099,Saskatchewan,212396,Potash Mining
153,G10196,Muskeg River Cogeneration Plant,,Alberta,221112,Fossil-Fuel Electric Power Generation
154,G10199,Imperial Oil Nanticoke Refinery,3701,Ontario,324110,Petroleum Refineries
155,G10203,Nipigon Power Plant,10405,Ontario,221112,Fossil-Fuel Electric Power Generation
156,G10204,Norman Wells Central Processing Facility,428,Northwest Territories,211110,Oil and gas extraction (except oil sands)
157,G10206,Braya Renewable Fuels (Newfoundland) LP,4316,Newfoundland and Labrador,325190,Other Basic Organic Chemical Manufacturing
158,G10207,Northwood Pulp Mill,1797,British Columbia,322112,Chemical Pulp Mills
159,G10208,Corunna Site,1776,Ontario,325110,Petrochemical Manufacturing
160,G10209,INEOS Styrolution,,Ontario,325110,Petrochemical Manufacturing
161,G10210,St. Clair River Site,4700,Ontario,325210,Resin and Synthetic Rubber Manufacturing
162,G10211,NOVA Chemicals Corporation (Joffre),1779,Alberta,325110,Petrochemical Manufacturing
163,G10213,Oshawa Assembly Plant,3893,Ontario,336110,Automobile and Light-Duty Motor Vehicle Manufacturing
164,G10215,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,4872,Ontario,221112,Fossil-Fuel Electric Power Generation
165,G10217,Usine de Thurso,1528,Quebec,322112,Chemical Pulp Mills
166,G10219,CNUL Peace River Complex,2128,Alberta,211141,In-situ oil sands extraction
167,G10220,Mercer Peace River,223,Alberta,322112,Chemical Pulp Mills
168,G10221,CEPSA Chimie Bécancour,4805,Quebec,325110,Petrochemical Manufacturing
169,G10223,Picton  Plant,3541,Ontario,327310,Cement Manufacturing
170,G10225,Pine River Sour Gas Plant C-085-D,4306,British Columbia,211110,Oil and gas extraction (except oil sands)
171,G10226,Transmission Mainline - BC,,British Columbia,486210,Pipeline Transportation of Natural Gas
172,G10227,Point Aconi Generating Station,4000,Nova Scotia,221112,Fossil-Fuel Electric Power Generation
173,G10228,Point Tupper Generating Station,3994,Nova Scotia,221112,Fossil-Fuel Electric Power Generation
174,G10229,Poplar River Power Station,2079,Saskatchewan,221112,Fossil-Fuel Electric Power Generation
175,G10230,Port Alberni Division,,British Columbia,322121,Paper (except Newsprint) Mills
176,G10232,Prentiss Chemical Manufacturing Facility,18997,Alberta,325190,Other Basic Organic Chemical Manufacturing
177,G10234,Prince George Refinery,405,British Columbia,324110,Petroleum Refineries
178,G10235,Progress Gas Plant 01-01-078-10 W6M,1755,Alberta,211110,Oil and gas extraction (except oil sands)
179,G10236,Queen Elizabeth Power Station,2085,Saskatchewan,221112,Fossil-Fuel Electric Power Generation
180,G10237,Quirk Creek Gas Plant,426,Alberta,211110,Oil and gas extraction (except oil sands)
181,G10238,Raffinerie de Montreal,3897,Quebec,324110,Petroleum Refineries
182,G10239,Raffinerie Jean-Gaulin,3928,Quebec,324110,Petroleum Refineries
183,G10240,Mine Raglan,5448,Quebec,212232,Nickel-Copper Ore Mining
184,G10241,Rainbow Lake Cogeneration Power Plant (Units 4-5),6609,Alberta,221112,Fossil-Fuel Electric Power Generation
185,G10243,Ram River Sour Gas Plant,407,Alberta,211110,Oil and gas extraction (except oil sands)
186,G10244,"TransCanada Pipeline, Manitoba",,Manitoba,486210,Pipeline Transportation of Natural Gas
187,G10246,Redwater Cogeneration Plant,6701,Alberta,221112,Fossil-Fuel Electric Power Generation
188,G10247,Irving Oil Refinery,4101,New Brunswick,324110,Petroleum Refineries
189,G10248,"Foothills Pipeline, Saskatchewan",,Saskatchewan,486210,Pipeline Transportation of Natural Gas
190,G10249,Rimbey Gas Plant,1372,Alberta,211110,Oil and gas extraction (except oil sands)
191,G10250,Sarnia Chemical Plant,1464,Ontario,325110,Petrochemical Manufacturing
192,G10251,Sarnia Cogen Plant,11174,Ontario,221112,Fossil-Fuel Electric Power Generation
193,G10252,Sarnia Fractionation Plant,4155,Ontario,211110,Oil and gas extraction (except oil sands)
194,G10253,Sarnia Manufacturing Centre,3962,Ontario,324110,Petroleum Refineries
195,G10254,Sarnia Refinery,3071,Ontario,324110,Petroleum Refineries
196,G10255,Sarnia Refinery Plant,3704,Ontario,324110,Petroleum Refineries
197,G10256,Sarnia Regional Cogeneration Facility,6597,Ontario,221112,Fossil-Fuel Electric Power Generation
198,G10257,Alliance Pipeline Ltd. - SK Pipeline System,,Saskatchewan,486210,Pipeline Transportation of Natural Gas
199,G10258,SaskEnergy Incorporated,,Saskatchewan,221210,Natural Gas Distribution
200,G10259,Yara Belle Plaine Inc.,2077,Saskatchewan,325313,Chemical Fertilizer (except Potash) Manufacturing
201,G10260,Scotford Chemical Plant,2963,Alberta,325110,Petrochemical Manufacturing
202,G10261,Scotford Complex,6219,Alberta,221112,Fossil-Fuel Electric Power Generation
203,G10262,Scotford Upgrader and Upgrader Cogeneration,6546,Alberta,211142,Mined oil sands extraction
204,G10263,Fibrek SENC,3242,Quebec,322112,Chemical Pulp Mills
205,G10264,Shand Power Station,2083,Saskatchewan,221112,Fossil-Fuel Electric Power Generation
206,G10265,Sheerness Generating Station,1036,Alberta,221112,Fossil-Fuel Electric Power Generation
207,G10267,Caroline Complex,2120,Alberta,211110,Oil and gas extraction (except oil sands)
208,G10268,Jumping Pound Complex,2119,Alberta,211110,Oil and gas extraction (except oil sands)
209,G10269,Shell Scotford Refinery,2960,Alberta,324110,Petroleum Refineries
210,G10271,"Koch Fertilizer Canada, ULC",2515,Manitoba,325313,Chemical Fertilizer (except Potash) Manufacturing
211,G10272,Site de Témiscaming,2948,Quebec,322112,Chemical Pulp Mills
212,G10273,Bowmanville Cement Plant,5841,Ontario,327310,Cement Manufacturing
213,G10274,St. Marys Cement Plant,5871,Ontario,327310,Cement Manufacturing
214,G10275,Hamilton,2984,Ontario,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
215,G10276,Lake Erie,3855,Ontario,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing
216,G10277,Strachan Gas Plant,1374,Alberta,211110,Oil and gas extraction (except oil sands)
217,G10278,"Imperial Oil, Strathcona Refinery",3707,Alberta,324110,Petroleum Refineries
218,G10279,Summit Road Landfill,,Manitoba,562210,Waste Treatment and Disposal
219,G10280,Suncor Energy Inc. Oil Sands,2230,Alberta,211142,Mined oil sands extraction
220,G10281,Sundance Thermal Electric Power Generating Plant,2284,Alberta,221112,Fossil-Fuel Electric Power Generation
221,G10283,CF Industries Courtright Nitrogen Complex,2233,Ontario,325313,Chemical Fertilizer (except Potash) Manufacturing
222,G10284,Terra Nova,17631,Newfoundland and Labrador,211110,Oil and gas extraction (except oil sands)
223,G10285,AV Terrace Bay,2607,Ontario,322112,Chemical Pulp Mills
224,G10289,"Teck Metals Ltd, Trail Operations",,British Columbia,331410,Non-Ferrous Metal (except Aluminum) Smelting and Refining
225,G10290,TransGas Limited,28763,Saskatchewan,486210,Pipeline Transportation of Natural Gas
226,G10291,Trenton Generating Station,3996,Nova Scotia,221112,Fossil-Fuel Electric Power Generation
227,G10292,Tufts Cove Generating Station,3998,Nova Scotia,221112,Fossil-Fuel Electric Power Generation
