year,source_category,quantity_co2e_tonnes,facility_id
2024,Stationary Fuel Combustion,33771.671,1183
2024,On-site Transportation,1240.479,1183
2023,Fugitives (Flaring),7619.6069,160
2023,Fugitives (Leakage),112.5796,160
2023,Stationary Fuel Combustion,84716.9549,160
2023,Industrial Process,326.43,160
2024,Fugitives (Flaring),700.62,1555
2024,Stationary Fuel Combustion,8716.889135,1555
2022,Stationary Fuel Combustion,39074.545,1
2022,On-site Transportation,287.754,1
2022,Waste,16654.68,1
2024,Stationary Fuel Combustion,10142.208,1432
2024,On-site Transportation,130.4665,1432
2024,Stationary Fuel Combustion,17430.6266,1116
2024,On-site Transportation,179.72739,1116
2024,Stationary Fuel Combustion,4794.451536,1595
2024,On-site Transportation,111.23326,1595
2022,CO2 from Biomass Combustion,0.0,757
2022,Stationary Fuel Combustion,33103.47,757
2022,Industrial Process,84.06451,757
2022,On-site Transportation,4527.01605,757
2022,Wastewater,7238.17956,757
2023,CO2 from Biomass Combustion,0.0,757
2023,Stationary Fuel Combustion,29616.75,757
2023,Industrial Process,4515.75025,757
2023,On-site Transportation,4188.01573,757
2023,Wastewater,7298.230425,757
2024,CO2 from Biomass Combustion,0.0,757
2024,Stationary Fuel Combustion,26988.89,757
2024,Industrial Process,3608.58828,757
2024,On-site Transportation,3806.99292,757
2024,Wastewater,7318.0,757
2024,Stationary Fuel Combustion,75028.98528,381
2024,On-site Transportation,191.3808,381
2024,CO2 from Biomass Combustion,0.0,1250
2024,Stationary Fuel Combustion,383.889,1250
2024,On-site Transportation,26.199962,1250
2023,Stationary Fuel Combustion,4305.441,537
2023,Industrial Process,204024.776,537
2023,On-site Transportation,13.743,537
2023,Stationary Fuel Combustion,4570.154,536
2023,Industrial Process,234141.673,536
2023,On-site Transportation,15.859,536
2022,Stationary Fuel Combustion,5782.477,537
2022,Industrial Process,156205.982,537
2022,On-site Transportation,24.834,537
2022,Stationary Fuel Combustion,4942.621,536
2022,Industrial Process,135989.9,536
2022,On-site Transportation,14.575,536
2024,Stationary Fuel Combustion,19011.721,775
2024,On-site Transportation,201.485,775
2024,Stationary Fuel Combustion,14826.24755,1690
2024,On-site Transportation,2530.48868,1690
2024,CO2 from Biomass Combustion,0.0,224
2024,Stationary Fuel Combustion,297224.0567,224
2024,Industrial Process,71294.23,224
2024,On-site Transportation,2573.1355,224
2023,CO2 from Biomass Combustion,0.0,224
